The Cycle of Galand,Edward W. Robertson,Length: 26 hrs and 49 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins
Middle of the Night,Riley Sager,Length: 11 hrs and 22 mins
Source Code,Bill Gates,Length: 11 hrs
Democracy or Else,"Jon Favreau,Jon Lovett,Tommy Vietor,Josh Halloway",Length: 3 hrs and 15 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 11 hrs
Framed,"John Grisham,Jim McCloskey",Length: 12 hrs
On Call,Anthony Fauci M.D.,Length: 19 hrs and 12 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 25 hrs and 4 mins
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 26 mins
Things Left Unsaid,"Serena Akeroyd,G.A. Mazurke",Length: 12 hrs and 34 mins
Man On,Rebecca Rathe,Length: 12 hrs and 13 mins
"Rise of the Weakest Summoner, Volume IX",J.R. Saileri,Length: 19 hrs
24690,"A. A. Dark,Alaska Angelini",Length: 10 hrs and 2 mins
Mandate of Heaven,Selkie Myth,Length: 22 hrs and 56 mins
Passions in Death: An Eve Dallas Novel,J. D. Robb,Length: 13 hrs and 54 mins
Sanctuary,Stacey Reynolds,Length: 11 hrs and 59 mins
The Knight,Will Wight,Length: 9 hrs and 48 mins
Spice,Roger Crowley,Length: 8 hrs and 57 mins
The Waiting,Michael Connelly,Length: 12 hrs
A Few Against Many,Ryk Brown,Length: 7 hrs and 49 mins
The Gods Undoing,Mark Tufo,Length: 11 hrs and 8 mins
Forbidden King,Laura Pavlov,Length: 9 hrs and 6 mins
Jake's Magical Market 3,J.R. Mathews,Length: 36 hrs and 21 mins
Lula Dean's Little Library of Banned Books,Kirsten Miller,Length: 10 hrs and 13 mins
Apprentice in Wonderland,Ramin Setoodeh,Length: 8 hrs and 48 mins
Same as It Ever Was,Claire Lombardo,Length: 18 hrs and 21 mins
Mythos University: Book 2,Alan Moria,Length: 12 hrs and 36 mins
When the Clock Broke,John Ganz,Length: 15 hrs and 17 mins
Forgotten Desires,Corinne Michaels,Length: 9 hrs and 8 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
Life as No One Knows It,Sara Imari Walker,Length: 8 hrs
The Glassmaker,Tracy Chevalier,Length: 13 hrs and 44 mins
Amazon Apocalypse 2,Marvin Knight,Length: 25 hrs and 35 mins
All the Little Raindrops,Mia Sheridan,Length: 13 hrs and 51 mins
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs and 30 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
World Running Down,Al Hess,Length: 9 hrs and 18 mins
A Scion's Duty,Tom Elliot,Length: 16 hrs and 43 mins
The Legend of Randidly Ghosthound 7,"Noret Flood,puddles4263",Length: 27 hrs and 53 mins
All My Kisses for You,Monica Murphy,Length: 13 hrs and 28 mins
Morning Star (2 of 2) (Dramatized Adaptation),Pierce Brown,Length: 10 hrs and 29 mins
Collapse,Sean Oswald,Length: 12 hrs and 51 mins
A Body of Water,Rhys Dylan,Length: 8 hrs and 27 mins
Why I Believe,Dr. Henry Cloud,Length: 9 hrs and 43 mins
Master of the System,Virlyce,Length: 26 hrs and 40 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 18 hrs and 53 mins
Reborn as a Demonic Tree 3,XKarnation,Length: 13 hrs and 15 mins
Winter Lost,Patricia Briggs,Length: 11 hrs and 15 mins
Threads of Destiny: Volume 3,Yrsillar,Length: 12 hrs and 18 mins
Meditations,"Marcus Aurelius,Jeffrey Ito",Length: 5 hrs and 29 mins
Big Bad Boss: Marked,"Renee Rose,Lee Savino",Length: 5 hrs and 59 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,Rick Scott,Length: 23 hrs and 6 mins
Summer Romance,Annabel Monaghan,Length: 8 hrs and 27 mins
How to Stop Breaking Your Own Heart,Meggan Roxanne,Length: 5 hrs and 15 mins
Sentinel,Mark Greaney,Length: 13 hrs and 34 mins
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Length: 12 hrs and 3 mins
Recon,Craig Alanson,Length: 16 hrs and 26 mins
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Tom Clancy Shadow State,M.P. Woodward,Length: 15 hrs
Night Flyer,"Tiya Miles,Henry Louis Gates Jr.",Length: 6 hrs and 5 mins
The King's Ransom,Janet Evanovich,Length: 7 hrs and 30 mins
The Duke at Hazard,KJ Charles,Length: 10 hrs
You Like It Darker,Stephen King,Length: 20 hrs and 12 mins
The Indispensable Right,Jonathan Turley,Length: 14 hrs and 56 mins
Reckless,Lauren Roberts,Length: 11 hrs
Adult ADHD Tools (3 Books in 1),Calvin Caufield,Length: 11 hrs and 42 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 54 mins
What a Ghost Wants,Danielle Garrett,Length: 2 hrs and 18 mins
Burma '44,James Holland,Length: 9 hrs and 58 mins
"Moonlight, Marshmallows, & Manslaughter",Tonya Kappes,Length: 4 hrs and 56 mins
"Overlord, Vol. 13","Kugane Maruyama,so-bin - illustrator,Emily Balistrieri - translator",Length: 10 hrs
"Revive Me, Part Three: The Apology",J.L. Seegars,Length: 16 hrs and 44 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Horror Movie,Paul Tremblay,Length: 7 hrs and 23 mins
Tom Clancy Act of Defiance,"Brian Andrews,Jeffrey Wilson",Length: 17 hrs and 1 min
When You Smile,Melissa Brayden,Length: 10 hrs and 56 mins
Winter Lost,Patricia Briggs,Length: 11 hrs and 15 mins
Sentinel,Mark Greaney,Length: 13 hrs and 34 mins
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Length: 12 hrs and 3 mins
Children of Anguish and Anarchy,Tomi Adeyemi,Length: 10 hrs and 2 mins
Recon,Craig Alanson,Length: 16 hrs and 26 mins
Big Bad Boss: Marked,"Renee Rose,Lee Savino",Length: 5 hrs and 59 mins
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
Tom Clancy Shadow State,M.P. Woodward,Length: 15 hrs
Adult ADHD Tools (3 Books in 1),Calvin Caufield,Length: 11 hrs and 42 mins
The King's Ransom,Janet Evanovich,Length: 7 hrs and 30 mins
A Scion's Duty,Tom Elliot,Length: 16 hrs and 43 mins
The Duke at Hazard,KJ Charles,Length: 10 hrs
You Like It Darker,Stephen King,Length: 20 hrs and 12 mins
The Indispensable Right,Jonathan Turley,Length: 14 hrs and 56 mins
Reckless,Lauren Roberts,Length: 11 hrs
"Overlord, Vol. 13","Kugane Maruyama,so-bin - illustrator,Emily Balistrieri - translator",Length: 10 hrs
All My Kisses for You,Monica Murphy,Length: 13 hrs and 28 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 54 mins
What a Ghost Wants,Danielle Garrett,Length: 2 hrs and 18 mins
Burma '44,James Holland,Length: 9 hrs and 58 mins
